date,location,percent_fully,left
2021-03-24,Chile,0.16526393910005902,0.15128642922872418
2021-03-25,Chile,0.1681514886136681,0.1565840800338603
2021-03-26,Chile,0.1708189631113575,0.16259547068145155
2021-03-27,Chile,0.17096255852821027,0.16312481203778426
2021-03-28,Chile,0.17098458172329042,0.16315347880952755
2021-03-29,Chile,0.1770247960775068,0.16499929457770626
2021-03-30,Chile,0.18458759265500813,0.16440733620353282
2021-03-31,Chile,0.19259869987820283,0.16301532380191075
2021-04-01,Chile,0.20140965188233714,0.1612303464562456
2021-04-02,Chile,0.20168020761857122,0.1610564102955769
2021-04-03,Chile,0.20175051444562048,0.1610841877696566
2021-04-04,Chile,0.2017745777941641,0.16109444084860133
2021-04-05,Chile,0.21248360488211862,0.1545441358168871
2021-04-06,Chile,0.22014605510956697,0.15172171427922765
2021-04-07,Chile,0.22737724828181152,0.14942560002351932
2021-04-08,Chile,0.2358843220431415,0.14490707859492433
2021-04-09,Chile,0.24362387960918402,0.1408470162677129
2021-04-10,Chile,0.24439898099042545,0.140652207767764
2021-04-11,Chile,0.24446996786862918,0.1406380836284014
2021-04-12,Chile,0.2527661734604387,0.13640262041495782
2021-04-13,Chile,0.2611243160189345,0.13193756146943153
2021-04-14,Chile,0.2689411901700803,0.12823907710990184
2021-04-15,Chile,0.2764693041387024,0.12393131922757278
2021-04-16,Chile,0.2834054074215238,0.12001830488461385
2021-04-17,Chile,0.2841550853519126,0.11967765156783966
2021-04-18,Chile,0.2842467353228875,0.1196309372846886
2021-04-19,Chile,0.2920074267863466,0.1141552177003296
2021-04-20,Chile,0.29968473351593927,0.10851518729471937
2021-04-21,Chile,0.30725966639096697,0.10256107787898738
2021-04-22,Chile,0.31474650648567404,0.09801195414844016
2021-04-23,Chile,0.3222304694408813,0.09260544284695776
2021-04-24,Chile,0.32285088534028894,0.09228356940437304
2021-04-25,Chile,0.32288677111659536,0.0922659403859834
2021-04-26,Chile,0.3308794646469915,0.08651469546079976
2021-04-27,Chile,0.337756612725881,0.0816666630920388
2021-04-28,Chile,0.3442871962741148,0.07739934209758847
2021-04-29,Chile,0.35077205946011575,0.07251845802690271
2021-04-30,Chile,0.35269032683206175,0.07324328793433882
2021-05-01,Chile,0.3527531007847843,0.07323533656699399
2021-05-02,Chile,0.35278752183552714,0.07324203245528438
2021-05-03,Chile,0.356726221187475,0.07326797902240972
2021-05-04,Chile,0.361324936340673,0.07289693265019231
2021-05-05,Chile,0.3661858373697421,0.07228792068552925
2021-05-06,Chile,0.37016507823282324,0.0725622428589267
2021-05-07,Chile,0.3734769796668367,0.07361454355306535
2021-05-08,Chile,0.3739015931453773,0.07409356112396553
2021-05-09,Chile,0.3739247148846301,0.07412050161200895
2021-05-10,Chile,0.3775780019981995,0.075856410651296
2021-05-11,Chile,0.38199613741406574,0.07703813031129758
2021-05-12,Chile,0.3860628956295676,0.0784363154849374
2021-05-13,Chile,0.3891955251169309,0.0803518626522654
2021-05-14,Chile,0.39210237762100214,0.08281793738497001
2021-05-15,Chile,0.39212340689516423,0.08285445090080357
2021-05-16,Chile,0.39213219524854537,0.08285952512864869
2021-05-17,Chile,0.39456792923743406,0.08692335389302347
2021-05-18,Chile,0.39703212075155697,0.09153488539490229
2021-05-19,Chile,0.3991632441348596,0.09589417023009111
2021-05-20,Chile,0.4024516576482293,0.09920492080830456
2021-05-21,Chile,0.40252196447527855,0.09953783200424304
2021-05-22,Chile,0.40284781360153576,0.10058600007982754
2021-05-23,Chile,0.402878415903488,0.10074769531971534
2021-05-24,Chile,0.40603406250684954,0.10667700902412186
2021-05-25,Chile,0.4088399535702921,0.11317850730759427
2021-03-13,Colombia,6.533041641271749e-4,0.014067932941851331
2021-03-14,Colombia,7.772358186300918e-4,0.01501699471279969
2021-03-15,Colombia,8.837352851304576e-4,0.016194581266266276
2021-03-16,Colombia,9.278169059756912e-4,0.017328361340524644
2021-03-17,Colombia,0.0010439266767976437,0.018043827861644008
2021-03-18,Colombia,0.0010591380787299714,0.019038071819985677
2021-03-19,Colombia,0.0010644443817296205,0.020118258233947587
2021-03-20,Colombia,0.001071637370240256,0.021088466604998257
2021-03-21,Colombia,0.0011369048971359406,0.0216047109279419
2021-03-22,Colombia,0.001185546007966058,0.021964380006447747
2021-03-23,Colombia,0.0012347767080183585,0.023075559160522424
2021-03-24,Colombia,0.0014597049962812643,0.024309844544188965
2021-03-25,Colombia,0.0023016973644811485,0.024411548685015574
2021-03-26,Colombia,0.0029107626839705077,0.025550281308740284
2021-03-27,Colombia,0.0034602598390452866,0.027018672919561712
2021-03-28,Colombia,0.003818494250443823,0.028109039574093324
2021-03-29,Colombia,0.004490429433991988,0.029638296445618138
2021-03-30,Colombia,0.005162973859736409,0.031368426365140784
2021-03-31,Colombia,0.005622067334076425,0.03284519014291721
2021-04-01,Colombia,0.006582861930546233,0.032053607653213995
2021-04-02,Colombia,0.007158654764930384,0.03159486793240729
2021-04-03,Colombia,0.007688105886450933,0.031418482490104135
2021-04-04,Colombia,0.007904426172069963,0.03151717972589761
2021-04-05,Colombia,0.008323742026886684,0.03208542581823782
2021-04-07,Colombia,0.010662465594520939,0.03157130401649404
2021-04-08,Colombia,0.01257941668557938,0.03012160238401581
2021-04-09,Colombia,0.014627040401247697,0.02864794377614288
2021-04-10,Colombia,0.015895030635449045,0.027981491772361013
2021-04-12,Colombia,0.017977695603889118,0.02641495320902015
2021-04-13,Colombia,0.019843057638006523,0.02615578943992247
2021-04-14,Colombia,0.020595432444434555,0.026711811382389414
2021-04-16,Colombia,0.021497464648426768,0.027561134309918436
2021-04-17,Colombia,0.022319135841435404,0.028219548247304535
2021-04-18,Colombia,0.02270726242639863,0.028667341261552702
2021-04-19,Colombia,0.02335368804960033,0.02929216826624843
